City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_temp,Wind_speed
byron bay,40,AU,1586207253,88,-28.65,153.62,22.22,4.6
diamantino,59,BR,1586207351,72,-14.41,-56.45,29.13,2.35
cairns,75,AU,1586207386,94,-16.92,145.77,23.0,4.6
saskylakh,100,RU,1586207548,97,71.92,114.08,-4.12,2.88
puro,11,PH,1586207548,80,12.48,123.38,26.12,3.79
george,43,ZA,1586207548,81,-33.96,22.46,12.0,4.1
the pas,90,CA,1586207548,74,53.83,-101.25,-2.0,8.2
half moon bay,90,US,1586207549,93,37.46,-122.43,12.22,2.61
antalaha,5,MG,1586207322,82,-14.9,50.28,25.05,3.78
bryant,75,US,1586207549,50,34.6,-92.49,26.11,4.1
isangel,100,VU,1586207549,85,-19.55,169.27,26.4,12.72
pasighat,39,IN,1586207549,48,28.07,95.33,19.59,1.58
asau,0,RO,1586207549,35,46.43,26.4,6.0,1.0
ancud,13,CL,1586207549,54,-41.87,-73.82,13.0,4.1
magomeni,20,TZ,1586207550,94,-6.8,39.25,27.0,1.98
yatou,0,CN,1586207550,67,37.15,122.38,7.96,3.5
terme,40,TR,1586207550,65,41.21,36.97,8.0,8.7
artyom,90,AZ,1586207550,46,40.47,50.33,10.0,12.3
bahia blanca,2,AR,1586207507,32,-38.72,-62.27,15.86,5.28
nioro,0,GM,1586207332,25,13.35,-15.75,29.68,4.34
makueni,100,KE,1586207550,66,-1.8,37.62,18.53,1.21
kalmunai,72,LK,1586207550,77,7.42,81.82,26.69,0.85
sambava,6,MG,1586207550,86,-14.27,50.17,24.44,2.62
sitka,90,US,1586207550,69,57.05,-135.33,6.0,8.7
biak,94,ID,1586207551,70,-0.91,122.88,26.81,1.6
sioux lookout,75,CA,1586207551,29,50.1,-91.92,12.0,2.6
klaksvik,20,FO,1586207551,64,62.23,-6.59,5.0,6.2
portland,75,US,1586207449,54,45.52,-122.68,17.22,2.1
yabrud,97,SY,1586207551,81,33.97,36.66,10.0,6.2
kirakira,35,SB,1586207551,79,-10.45,161.92,27.96,2.87
namibe,0,AO,1586207362,61,-15.2,12.15,23.5,3.68
khatanga,100,RU,1586207551,96,71.97,102.5,-3.46,2.05
lima,40,PE,1586207551,73,-12.04,-77.03,24.0,4.6
tommot,94,RU,1586207551,94,58.96,126.29,-6.15,0.66
tuy hoa,90,VN,1586207552,79,13.08,109.3,25.12,0.8
xiongzhou,38,CN,1586207552,83,25.12,114.3,11.93,0.4
san patricio,40,MX,1586207552,79,19.22,-104.7,29.0,5.1
la seyne-sur-mer,0,FR,1586207552,71,43.1,5.88,15.0,1.5
barinas,95,VE,1586207552,43,8.62,-70.21,34.0,2.06
cayenne,75,GF,1586207396,74,4.93,-52.33,29.0,4.6
hasaki,75,JP,1586207552,80,35.73,140.83,4.0,1.0
camopi,77,GF,1586207552,82,3.17,-52.32,27.13,2.11
east moline,90,US,1586207552,59,41.5,-90.44,20.0,3.6
kahului,1,US,1586207553,69,20.89,-156.47,25.56,3.08
batagay-alyta,93,RU,1586207553,84,67.8,130.41,-10.56,2.25
kavaratti,35,IN,1586207553,73,10.57,72.64,28.78,3.23
natchitoches,40,US,1586207553,54,31.77,-93.13,29.0,2.6
hirara,100,JP,1586207553,85,24.8,125.28,19.65,5.68
baruun-urt,0,MN,1586207553,60,46.68,113.28,-4.35,0.85
ladario,75,BR,1586207344,74,-19.0,-57.6,29.0,3.1
sale,40,MA,1586207553,93,34.04,-6.82,17.78,2.1
atambua,56,ID,1586207553,78,-9.11,124.89,23.2,1.3
nhulunbuy,40,AU,1586207553,88,-12.23,136.77,25.0,2.1
